    -5.00    0.0000
    -4.75    0.0000
    -4.50    0.0000
    -4.25    0.0000
    -4.00    0.0000
    -3.75    0.0000
    -3.50    0.0000
    -3.25    0.0000
    -3.00    0.0000
    -2.75    0.0000
    -2.50    0.0000
    -2.25    0.0000
    -2.00    0.0000
    45.00  904.3416  -10.6172
    45.25  902.5128  -10.6173
    45.50  902.8176  -10.6850
    45.75  902.5128  -11.0575
    46.00  900.6840  -10.7189
    46.25  898.8552   -9.1271
    46.50  894.5880   -7.7724
    46.75  890.0160   -7.3660
    47.00  883.6152   -7.5353
    47.25  879.3480   -8.3143
    47.50  878.7384   -9.5673
    47.75  879.0432  -11.0575
    48.00  879.6528  -12.1074
    48.25  872.0328  -12.7000
    48.50  875.0808  -12.4121
    48.75  868.0704  -11.1591
    49.00  864.1080  -10.0923
    49.25  860.1456   -9.6351
    49.50  857.4024   -9.9907
    49.75  854.3544  -10.3801
    50.00  851.9160  -11.1761
    50.25  849.1728  -12.4121
    50.50  847.9536  -12.9201
    50.75  843.6864  -12.8693
    51.00  842.4672  -12.3274
    51.25  847.3440  -11.3283
    51.50  842.1625   -9.9906
    51.75  835.1520   -8.9746
    52.00  832.4088   -8.6699
    52.25  833.9328   -8.2635
    52.50  829.6656   -7.7724
    52.75  824.1792   -8.5514
    53.00  822.6552   -9.9907
    53.25  823.2648  -10.4140
    53.50  824.1792   -9.8891
    53.75  820.8264   -9.6689
    54.00  812.5969  -10.0922
    54.25  809.2440   -9.8721
    54.50  806.8056   -9.2118
    54.75  804.3672   -9.3979
    55.00  802.5384  -10.5325
    55.25  800.7096  -11.6670
    55.50  795.8328  -12.0396
    55.75  791.8704  -12.1581
    56.00  789.7368  -12.3614
    56.25  787.6032  -12.3105
    56.50  786.0792  -11.9041
    56.75  783.0312  -11.4808
    57.00  780.5928  -11.2607
    57.25  784.8600  -10.6003
    57.50  774.8016   -9.9060
    57.75  771.4488   -9.7536
    58.00  769.6200   -9.7197
    58.25  765.9624   -9.6859
    58.50  769.0104   -9.4488
    58.75  769.6200   -9.7028
    59.00  761.6952  -10.0584
    59.25  756.2088   -9.9060
    59.50  754.0752   -9.8044
    59.75  753.4656   -9.4996
    60.00  752.8560   -9.4996
    60.25  750.4176   -9.9737
    60.50  745.2360  -10.3802
    60.75  741.2736  -10.5494
    61.00  738.5304  -10.5326
    61.25  735.4824  -10.8373
    61.50  732.4344  -11.3792
    61.75  731.2152  -11.6163
    62.00  734.5680  -11.2945
    62.25  733.9584  -10.5495
    62.50  729.0816   -9.7875
    62.75  722.6808   -9.1609
    63.00  718.7184   -8.5005
    63.25  715.3656   -7.9418
    63.50  712.9272   -8.3650
    63.75  709.8792   -9.9060
    64.00  706.2216  -11.5824
    64.25  706.8312  -12.4968
    64.50  707.7456  -12.5137
    64.75  706.8311  -11.9549
    65.00  704.3928  -10.8204
    65.25  699.8207   -9.3134
    65.50  691.2863   -8.0942
    65.75  690.3719   -7.6878
    66.00  687.6287   -8.2297
    66.25  685.1904   -9.4658
    66.50  683.6664  -10.8712
    66.75  678.7896  -12.1582
    67.00  676.3512  -12.7677
    67.25  672.9983  -12.8185
    67.50  670.5600  -12.7000
    67.75  668.1216  -12.2767
    68.00  666.2928  -11.8364
    68.25  663.5496  -11.3284
    68.50  660.8063  -11.0405
    68.75  658.3679  -10.9220
    69.00  656.2344  -10.6172
    69.25  654.4055  -10.2786
    69.50  649.5287  -10.0584
    69.75  646.7856  -10.1092
    70.00  646.1760  -10.1431
    70.25  644.0424  -10.0753
    70.50  640.3848  -10.1431
    70.75  638.5560  -10.3462
    71.00  640.6897  -10.0245
    71.25  640.3848   -9.0085
    71.50  635.5079   -8.2127
    71.75  630.3263   -7.9586
    72.00  625.4495   -7.8740
    72.25  619.9631   -7.9756
    72.50  618.4392   -8.8731
    72.75  616.6104  -10.5834
    73.00  615.6960  -12.0566
    73.25  615.3911  -12.6323
    73.50  614.4769  -12.4798
    73.75  608.3807  -11.8702
    74.00  607.7712  -10.8373
    74.25  608.6856   -9.3133
    74.50  602.2847   -8.0772
    74.75  595.8839   -7.9756
    75.00  591.9215   -8.8731
    75.25  589.7881   -9.9060
    75.50  586.4351  -10.8881
    75.75  584.6064  -12.3783
    76.00  581.2535  -13.6991
    76.25  582.1681  -13.8006
    76.50  584.6064  -12.6322
    76.75  576.3766  -11.4977
    77.00  572.1096  -10.8204
    77.25  569.3664   -9.9399
    77.50  572.1097   -8.7884
    77.75  568.1472   -8.1450
    78.00  561.4415   -9.0424
    78.25  558.0888  -10.1939
    78.50  554.1263  -10.6680
    78.75  552.2976  -10.9728
    79.00  550.7736  -11.7517
    79.25  547.4207  -12.8016
    79.50  544.6776  -12.8185
    79.75  543.1536  -12.2767
    80.00  540.1055  -11.8703
    80.25  537.6672  -11.5146
    80.50  534.3143  -11.1083
    80.75  531.5712  -10.5664
    81.00  528.8279  -10.2447
    81.25  528.2184  -10.1939
    81.50  524.5607  -10.2785
    81.75  520.9032  -10.4817
    82.00  518.1599  -10.5833
    82.25  516.6360  -10.5156
    82.50  514.1976  -10.3971
    82.75  510.8448  -10.4648
    83.00  509.9304  -10.5495
    83.25  508.7112  -10.2447
    83.50  505.9680   -9.7705
    83.75  501.3959   -9.5673
    84.00  497.1288   -9.7198
    84.25  493.4712   -9.8552
    84.50  490.7280  -10.1092
    84.75  490.4232  -10.7018
    85.00  490.4232  -11.2268
    85.25  488.5944  -11.2776
    85.50  483.7175  -10.9389
    85.75  478.2312  -10.6172
    86.00  475.1832  -10.2955
    86.25  473.6592  -10.0076
    86.50  469.6967  -10.2108
    86.75  466.9536  -10.9897
    87.00  464.2104  -11.8194
    87.25  462.3816  -12.1920
    87.50  457.2000  -12.3613
    87.75  454.4568  -12.6322
    88.00  453.8472  -12.4968
    88.25  456.2856  -11.6163
    88.50  453.8472  -10.4987
    88.75  448.6656   -9.8722
    89.00  442.2648   -9.5843
    89.25  439.8264   -9.1609
    89.50  439.2169   -8.8392
    89.75  438.3024   -9.1778
    90.00  436.7784   -9.9568
    90.25  430.9871  -10.5495
    90.50  424.8911  -10.9051
    90.75  420.9288  -11.2776
    91.00  416.9663  -11.9380
    91.25  415.1376  -12.6493
    91.50  420.0144  -12.9202
    91.75  412.0895  -12.9710
    92.00  406.9079  -13.0725
    92.25  404.1648  -12.9879
    92.50  403.2504  -12.3952
    92.75  402.0312  -11.3623
    93.00  399.2880  -11.0236
    93.25  393.8015  -11.2099
    93.50  389.5344  -11.1421
    93.75  385.8768  -11.1929
    94.00  383.7431  -11.5993
    94.25  380.6952  -12.3783
    94.50  377.6472  -12.8863
    94.75  375.5136  -12.9371
    95.00  373.0752  -12.8863
    95.25  370.6368  -12.6661
    95.50  367.5888  -12.3105
    95.75  365.1504  -11.8025
    96.00  364.2360  -11.0236
    96.25  359.6639  -10.4309
    96.50  355.3967  -10.3632
    96.75  351.4344  -10.6511
    97.00  348.6912  -11.0236
    97.25  352.0440  -11.0406
    97.50  346.5575  -11.1422
    97.75  341.3759  -11.5147
    98.00  337.7184  -11.6501
    98.25  338.0232  -11.3284
    98.50  339.5475  -10.4648
    98.75  333.1463  -10.2446
    99.00  326.7456  -10.6849
    99.25  322.4783  -10.8373
    99.50  321.2592  -10.8034
    99.75  320.3448  -10.9728
   100.00  315.1631  -12.0565
   100.25  313.3345  -12.9540
   100.50  313.9440  -12.6154
   100.75  310.2864  -11.8534
   101.00  305.1047  -11.4639
   101.25  302.6664  -11.4470
   101.50  299.6184  -10.9559
   101.75  296.5703  -10.2955
   102.00  292.9127  -10.5833
   102.25  290.7791  -11.4470
   102.50  288.0359  -11.9042
   102.75  284.6831  -11.9719
   103.00  280.7207  -12.1751
   103.25  277.9776  -12.4630
   103.50  274.6247  -12.4122
   103.75  271.5768  -12.2428
   104.00  272.1864  -12.1581
   104.25  271.2720  -11.8364
   104.50  266.7000  -11.3114
   104.75  262.1279  -10.8881
   105.00  258.4705  -10.6172
   105.25  257.8608  -10.1938
   105.50  257.2512   -9.8383
   105.75  256.3367   -9.8721
   106.00  251.1551  -10.0415
   106.25  245.3639  -10.1769
   106.50  241.7065  -10.2616
   106.75  238.9631  -10.5834
   107.00  235.9152  -11.2268
   107.25  232.2575  -12.0904
   107.50  229.5144  -12.9371
   107.75  226.4664  -13.3943
   108.00  224.3328  -13.5466
   108.25  228.6000  -13.1064
   108.50  219.7607  -12.3444
   108.75  217.0176  -11.5655
   109.00  215.7984  -10.6341
   109.25  212.1407   -9.9399
   109.50  208.1783   -9.6181
   109.75  204.2159  -10.3293
   110.00  201.7775  -11.2099
   110.25  199.6440  -11.4300
   110.50  197.5104  -11.8026
   110.75  193.5480  -12.2936
   111.00  195.3769  -12.3444
   111.25  195.9863  -11.2606
   111.50  188.0615  -10.1261
   111.75  184.4040   -9.7705
   112.00  182.8800   -9.4488
   112.25  183.1850   -8.7884
   112.50  179.5271   -8.5005
   112.75  173.7359   -9.4488
   113.00  171.9072  -10.3632
   113.25  170.3831  -10.4309
   113.50  166.4207  -10.4648
   113.75  163.6776  -11.0744
   114.00  160.6296  -11.7518
   114.25  158.1912  -11.5486
   114.50  159.4102  -10.9728
   114.75  152.4000  -10.9898
   115.00  155.4480  -10.9051
   115.25  145.9991  -10.4987
   115.50  143.8656  -10.2785
   115.75  139.9032  -10.3124
   116.00  138.0744  -10.9559
   116.25  135.9407  -11.3622
   116.50  138.0744  -11.6332
   116.75  135.6360  -11.5824
   117.00  132.5879  -10.8712
   117.25  130.7591  -10.0584
   117.50  124.6632   -9.1101
   117.75  121.9200   -8.5344
   118.00  120.0911   -8.4328
   118.25  113.6903   -9.1101
   118.50  110.0327  -10.3801
   118.75  108.8135  -11.7179
   119.00  104.5464  -12.8016
   119.25  102.1080  -13.4959
   119.50  101.1936  -13.8684
   119.75  100.5840  -13.4281
   120.00  102.7176  -12.0904
   120.25   99.0600  -10.5664
   120.50   95.0975   -9.2964
   120.75   90.8303   -8.2296
   121.00   85.6488   -7.5692
   121.25   82.9056   -7.6369
   121.50   81.3816   -8.6699
   121.75   81.9912   -9.8552
   122.00   81.0768  -10.5156
   122.25   79.2480  -10.7865
   122.50   77.4192  -10.3971
   122.75   74.9807   -9.4488
   123.00   72.2378   -8.2296
   123.25   68.8848   -7.3321
   123.50   64.6175   -7.2474
   123.75   59.4359   -7.8401
   124.00   56.3880   -9.0085
   124.25   53.9496  -10.4479
   124.50   51.2063  -11.8364
   124.75   47.5487  -12.9540
   125.00   46.0248  -13.5298
   125.25   43.8911  -13.4112
   125.50   42.3672  -12.7847
   125.75   39.6239  -12.0227
   126.00   38.4048  -11.1929
   126.25   38.7096  -10.0415
   126.50   32.6135   -9.0593
   126.75   29.2608   -8.7207
   127.00   27.4320   -8.7207
   127.25   26.5176   -8.7037
   127.50   23.1647   -8.7715
   127.75   21.6408   -9.3641
   128.00   20.1168   -9.7705
   128.25   23.1649   -9.2456
   128.50   20.4215   -8.3312
   128.75   17.0687   -7.6877
   129.00   13.1063   -7.1967
   129.25    7.3151   -6.7564
   129.50    7.3151   -6.6209
   129.75    4.5720   -7.3322
   130.00    3.9624   -8.5513
   130.25    4.5720   -9.2456
   130.50    4.2672   -9.3472
   130.75    4.2672   -8.6529
   131.00    3.6576   -7.5184
   131.25    4.2672   -5.9944
   131.50    4.5720   -4.0301
   131.75    4.2672   -2.4045
   132.00    3.9624   -1.2531
   132.25    4.5720   -0.5927
   132.50    4.2672   -0.1693
   132.75    4.5720    0.1016
   133.00    4.2672    0.0847
   133.25    4.2672    0.0508
   133.50    4.2672    0.1016
   133.75    3.9624    0.0847
   134.00    4.2672   -0.0000
   134.25    4.2672   -0.0677
   134.50    4.5720   -0.0677
   134.75    4.5720   -0.0169
   135.00    4.5720   -0.0000
   135.25    4.2672    0.0508
   135.50    4.2672    0.1016
   135.75    4.2672    0.1185
   136.00    4.2672    0.1016
   136.25    4.2672    0.0339
   136.50    4.2672   -0.0339
   136.75    4.2672   -0.0847
   137.00    4.2672   -0.1016
   137.25    4.2672   -0.1016
   137.50    4.2672   -0.0847
   137.75    4.2672   -0.0508
   138.00    4.2672   -0.0169
   138.25    4.2672    0.0000
   138.50    4.2672    0.0000
   138.75    4.2672    0.0000
   139.00    4.2672    0.0000
   139.25    4.2672    0.0000
   139.50    4.2672    0.0000
   139.75    4.2672    0.0000
   140.00    4.2672    0.0000
   140.25    4.2672    0.0000
   140.50    4.2672    0.0000
   140.75    4.2672    0.0000
   141.00    4.2672    0.0000
   141.25    4.2672    0.0000
   141.50    4.2672    0.0000
   141.75    4.2672    0.0000
   142.00    4.2672    0.0000
   142.25    4.2672    0.0000
   142.50    4.2672    0.0000
   142.75    4.2672    0.0000
   143.00    4.2672    0.0000
   143.25    4.2672    0.0000
   143.50    4.2672    0.0000
   143.75    4.2672    0.0000
   144.00    4.2672    0.0000
   144.25    4.2672    0.0000
   144.50    4.2672    0.0000
   144.75    4.2672    0.0000
   145.00    4.2672    0.0000
   145.25    4.2672    0.0000
   145.50    4.2672    0.0000
   145.75    4.2672    0.0000
   146.00    4.2672    0.0000
   146.25    4.2672    0.0000
   146.50    4.2672    0.0000
   146.75    4.2672    0.0000
   147.00    4.2672    0.0000
   147.25    4.2672    0.0000
   147.50    4.2672    0.0000
   147.75    4.2672    0.0000
   148.00    4.2672    0.0000
   148.25    4.2672    0.0000
   148.50    4.2672    0.0000
   148.75    4.2672    0.0000
   149.00    4.2672    0.0000
   149.25    4.2672    0.0000
   149.50    4.2672    0.0000
   149.75    4.2672    0.0000
   150.00    4.2672    0.0000
   150.25    4.2672    0.0000
   150.50    4.2672    0.0000
   150.75    4.2672    0.0000
   151.00    4.2672    0.0000
   151.25    4.2672    0.0000
   151.50    4.2672    0.0000
   151.75    4.2672    0.0000
   152.00    4.2672    0.0000
   152.25    4.2672    0.0000
   152.50    4.2672    0.0000
   152.75    4.2672    0.0000
   153.00    4.2672    0.0000
   153.25    4.2672    0.0000
   153.50    4.2672    0.0000
   153.75    4.2672    0.0000
   154.00    4.2672    0.0000
   154.25    4.2672    0.0000
   154.50    4.2672    0.0000
   154.75    4.2672    0.0000
   155.00    4.2672    0.0000
   155.25    4.2672    0.0000
   155.50    4.2672    0.0000
   155.75    4.2672    0.0000
   156.00    4.2672    0.0000
   156.25    4.2672    0.0000
   156.50    4.2672    0.0000
   156.75    4.2672    0.0000
   157.00    4.2672    0.0000
   157.25    4.2672    0.0000
   157.50    4.2672    0.0000
   157.75    4.2672    0.0000
   158.00    4.2672    0.0000
   158.25    4.2672    0.0000
   158.50    4.2672    0.0000
   158.75    4.2672    0.0000
   159.00    4.2672    0.0000
   159.25    4.2672    0.0000
   159.50    4.2672    0.0000
   159.75    4.2672    0.0000
   160.00    4.2672    0.0000
   160.25    4.2672    0.0000
   160.50    4.2672    0.0000
   160.75    4.2672    0.0000
   161.00    4.2672    0.0000
   161.25    4.2672    0.0000
   161.50    4.2672    0.0000
   161.75    4.2672    0.0000
   162.00    4.2672    0.0000
