    16.00  353.3320
    16.25  414.7644
    16.50  405.7906
    16.75  358.7780
    17.00  363.4673
    17.25  432.3571
    17.50  480.3672
    17.75  441.4810
    18.00  450.5717
    18.25  460.1172
    18.50  468.8020
    18.75  477.2365
    19.00  484.9456
    19.25  491.1671   37.6794
    19.50  498.6346   39.1378
    19.75  505.1500   36.1919
    20.00  509.3590   29.4651
    20.25  514.8023   25.4600
    20.50  518.5872   26.6683
    20.75  520.7762   27.1676
    21.00  524.5823   24.8235
    21.25  525.5179   22.2246
    21.50  528.5771   19.6688
    21.75  529.5910   17.2180
    22.00  529.1968   14.6730
    22.25  528.9412   12.2021
    22.50  528.3462    9.7783
    22.75  527.1728    7.5063
    23.00  523.9576    5.1424
    23.25  522.0318    2.5765
    23.50  518.3838    0.1448
    23.75  513.3798   -2.3635
    24.00  510.3615   -4.8899
    24.25  503.4216   -7.5096
    24.50  498.0241  -10.1051
    24.75  491.9717  -12.5393
    25.00  485.8961  -14.9935
    25.25  478.2850  -17.2828
    25.50  470.0606  -19.6077
    25.75  459.8614  -21.9481
    26.00  451.7351  -24.1794
    26.25  440.2064  -26.5161
    26.50  455.3357  -27.6149
    26.75  466.7207  -26.2006
    27.00  406.2356  -26.2002
    27.25  346.5378  -31.3829
    27.50  356.7829  -37.9621
    27.75  402.1152  -39.9060
    28.00  395.6703  -40.7632
    28.25  325.0711  -49.6072
    28.50  271.9731  -60.7473
    28.75  293.8561  -61.2915
    29.00  331.9662  -54.0261
    29.25  307.6685  -53.2605
    29.50  228.3928  -62.3698
    29.75  187.1589  -68.1407
    30.00  215.3203  -63.6214
    30.25  243.1814  -59.1982
    30.50  200.4627  -65.0138
    30.75  119.0622  -76.1719
    31.00   89.6789  -79.8161
    31.25  123.6569  -74.0954
    31.50  136.8073  -71.1759
    31.75   76.0420  -78.8606
    32.00   40.7970  -86.8955
    32.25   39.5516  -82.3992
    32.50   40.5382  -71.3620
    32.75   39.8636  -67.5130
    33.00   39.3928  -69.6904
    33.25   40.4238  -63.4337
    33.50   40.4312  -47.2770
    33.75   39.3278  -34.0222
    34.00   40.9364  -26.8652
    34.25   39.0622  -19.5024
    34.50   39.3788   -9.4806
    34.75   40.7430   -2.0729
    35.00   40.0230   -0.0788
    35.25   40.4566   -0.0060
    35.50   40.5788    0.0272
    35.75   39.8630    0.0742
    36.00   39.6760    0.1805
    36.25   40.6472    0.1747
    36.50   40.9852    0.2278
    36.75   39.5106    0.1887
    37.00   40.3178    0.0788
    37.25   39.8046    0.0364
    37.50   39.0714   -0.0614
    37.75   39.0358   -0.1957
    38.00   39.2656   -0.4289
    38.25   39.6318   -0.5186
