    -5.00    0.0000
    -4.75    0.0000
    -4.50    0.0000
    -4.25    0.0000
    -4.00    0.0000
    -3.75    0.0000
    -3.50    0.0000
    -3.25    0.0000
    -3.00    0.0000
    -2.75    0.0000
    -2.50    0.0000
    -2.25    0.0000
    -2.00    0.0000
    -1.75    0.0000    0.0000
    -1.50    0.0000    0.0000
    -1.25    0.0000    0.0000
    -1.00    0.0000    0.0000
    -0.75    0.0000    0.0000
    -0.50    0.0000    0.0000
    -0.25    0.0000    0.0000
     0.00    0.0000    0.0000
     0.25   -2.4384   -0.1355
     0.50  -13.1064   -0.9991
     0.75  -27.7368   -3.2681
     1.00   -3.6576   -5.0123
     1.25   28.6512   -3.6237
     1.50   60.6552    1.3377
     1.75   90.2208    9.9907
     2.00  116.7384   23.2156
     2.25  146.6088   42.3841
     2.50  170.6880   63.5000
     2.75  197.5104   81.1784
     3.00  222.1992   94.5727
     3.25  245.3640  103.6489
     3.50  265.4808  108.1701
     3.75  287.1216  107.3404
     4.00  308.4576  103.4288
     4.25  327.6600   99.2463
     4.50  345.3384   94.9621
     4.75  362.1024   90.6949
     5.00  377.6472   86.5293
     5.25  393.1920   82.5839
     5.50  407.2128   78.5029
     5.75  421.2336   74.3035
     6.00  433.4256   70.3241
     6.25  445.6176   66.5311
     6.50  456.8952   62.8565
     6.75  466.6488   59.2159
     7.00  477.0120   55.7953
     7.25  485.8512   52.5780
     7.50  494.3856   49.4623
     7.75  502.0056   46.4481
     8.00  508.7112   43.4170
     8.25  514.8072   40.4876
     8.50  519.9888   37.5920
     8.75  524.8656   34.6794
     9.00  528.5232   31.7669
     9.25  532.1808   28.8206
     9.50  535.2288   25.9588
     9.75  537.6672   23.1478
    10.00  538.8864   20.4046
    10.25  540.1056   17.7461
    10.50  541.3248   15.2400
    10.75  541.9344   12.9201
    11.00  540.1056   10.5833
    11.25  539.4960    8.2127
    11.50  537.6672    5.9266
    11.75  533.4000    3.5899
    12.00  530.3520    1.0498
    12.25  527.6088   -1.6087
    12.50  526.3896   -3.9793
    12.75  523.6464   -5.9944
    13.00  520.5984   -7.8570
    13.25  518.1600   -9.2117
    13.50  516.6360   -9.8382
    13.75  513.2832   -9.9906
    14.00  510.5400  -10.1092
    14.25  508.4064  -10.1939
    14.50  504.7488  -10.0923
    14.75  502.3104  -10.0584
    15.00  499.8720  -10.2616
    15.25  497.7384  -10.4986
    15.50  494.6904  -10.5664
    15.75  492.5568  -10.6003
    16.00  489.5088  -10.6003
    16.25  487.0704  -10.5325
    16.50  484.0224  -10.4479
    16.75  481.8888  -10.4140
    17.00  479.1456  -10.4140
    17.25  476.4024  -10.4140
    17.50  474.2688  -10.4310
    17.75  470.9160  -10.4817
    18.00  468.4776  -10.5156
    18.25  466.6488  -10.4648
    18.50  463.9056  -10.4140
    18.75  460.2480  -10.3970
    19.00  458.4192  -10.4309
    19.25  456.2856  -10.3801
    19.50  453.2376  -10.2785
    19.75  450.4944  -10.3124
    20.00  447.4464  -10.4310
