    -5.00    0.0000
    -4.75    0.0000
    -4.50    0.0000
    -4.25    0.0000
    -4.00    0.0000
    -3.75    0.0000
    -3.50    0.0000
    -3.25    0.0000
    -3.00    0.0000
    -2.75    0.0000
    -2.50    0.0000
    -2.25    0.0000
    -2.00    0.0000
    -1.75    0.0000    0.0000
    -1.50    0.0000    0.0000
    -1.25    0.0000    0.0000
    -1.00    0.0000    0.0000
    -0.75    0.0000    0.0000
    -0.50    0.0000    0.0000
    -0.25    0.0000    0.0000
     0.00    0.0000    0.0000
     0.25    0.0000    0.0000
     0.50   -0.0000   -0.0000
     0.75    1.8288    0.1016
     1.00    7.6200    0.6265
     1.25   33.2232    2.8956
     1.50   96.6216   10.1092
     1.75  163.6776   24.5703
     2.00   39.0144   35.8309
     2.25   41.7576   40.1151
     2.50   56.3880   44.5177
     2.75   46.6344   45.7031
     3.00   46.0248   36.4236
     3.25   42.3672   12.4121
     3.50   42.3672   -5.4017
     3.75   34.4424  -10.0076
     4.00   27.7368  -16.9333
     4.25   24.3840  -23.2156
     4.50   25.6032  -23.5204
     4.75   22.2504  -16.2221
     5.00   20.7264  -11.9888
     5.25   14.3256  -14.0885
     5.50   11.5824  -14.1055
     5.75    9.1440  -13.0217
     6.00   -2.7432  -13.0725
     6.25    0.0000  -13.6313
     6.50   -1.8288  -13.8007
     6.75   -3.9624  -13.7499
     7.00   -3.6576  -13.5975
     7.25   -4.5720  -13.4620
     7.50   -4.2672  -11.8872
     7.75   -4.2672   -9.3980
     8.00   -4.5720   -7.2983
     8.25   -4.2672   -5.1985
     8.50   -4.5720   -3.4036
     8.75   -3.9624   -1.8119
     9.00   -4.8768   -0.9652
     9.25   -3.9624   -0.6604
     9.50   -4.5720   -0.2540
     9.75   -4.2672   -0.0847
    10.00   -4.5720   -0.0169
    10.25   -4.2672   -0.0169
    10.50   -4.2672    0.0000
    10.75   -4.2672    0.0339
    11.00   -4.2672    0.0169
    11.25   -4.2672    0.0339
    11.50   -4.5720    0.0339
    11.75   -4.2672    0.0508
    12.00   -4.2672    0.0339
    12.25   -4.5720    0.0000
    12.50   -4.2672   -0.0169
    12.75   -4.2672   -0.0339
    13.00   -4.2672   -0.0169
    13.25   -4.5720   -0.0169
    13.50   -4.2672   -0.0339
    13.75   -4.2672   -0.0000
    14.00   -4.5720    0.0169
    14.25   -4.2672    0.0000
    14.50   -4.2672   -0.0169
    14.75   -4.2672   -0.0000
    15.00   -4.2672    0.0339
    15.25   -4.2672    0.0169
    15.50   -3.9624    0.0508
    15.75   -3.9624    0.1185
    16.00   -3.9624    0.1524
    16.25   -4.2672    0.1524
    16.50   -4.2672    0.1355
    16.75   -4.2672    0.1355
    17.00   -4.5720    0.0677
    17.25   -4.2672   -0.0339
    17.50   -3.9624   -0.0847
    17.75   -4.2672   -0.1016
    18.00   -3.9624   -0.0847
    18.25   -3.9624   -0.0508
    18.50   -3.9624    0.0339
    18.75   -3.9624    0.1355
    19.00   -3.9624    0.1693
    19.25   -3.9624    0.1863
    19.50   -3.9624    0.1863
    19.75   -3.9624    0.1524
    20.00   -3.9624    0.1016
    20.25   -3.9624    0.0508
    20.50   -3.9624    0.0339
    20.75   -3.9624    0.0169
    21.00   -3.9624    0.0000
    21.25   -3.9624    0.0000
    21.50   -3.9624    0.0000
