    -5.00    0.0000
    -4.75    0.0000
    -4.50    0.0000
    -4.25    0.0000
    -4.00    0.0000
    -3.75    0.0000
    -3.50    0.0000
    -3.25    0.0000
    -3.00    0.0000
    -2.75    0.0000
    -2.50    0.0000
    -2.25    0.0000
    -2.00    0.0000
    -1.75    0.0000    0.0000
    -1.50    0.0000    0.0000
    -1.25    0.0000    0.0000
    -1.00    0.0000    0.0000
    -0.75    0.0000    0.0000
    -0.50    0.0000    0.0000
    -0.25    0.0000    0.0000
     0.00   -0.0000   -0.0000
     0.25 -121.0056   -6.7225
     0.50 -127.7112  -20.5401
     0.75  -80.1624  -32.0887
     1.00  -27.7368  -38.0831
     1.25   24.6888  -38.2524
     1.50   74.3712  -32.7491
     1.75  115.5192   -8.7545
     2.00  159.1056   34.1376
     2.25  197.8152   77.0636
     2.50  237.4392  113.2332
     2.75  271.8816  141.8675
     3.00  308.1528  163.0849
     3.25  340.7664  171.3145
     3.50  370.3320  166.4885
     3.75  398.3736  157.9880
     4.00  424.8912  149.3689
     4.25  451.7136  141.3087
     4.50  477.3168  133.9765
     4.75  501.3960  126.7968
     5.00  523.3416  119.9727
     5.25  544.9824  113.7412
     5.50  566.0136  108.1701
     5.75  583.6920  102.9377
     6.00  600.4560   97.7223
     6.25  617.8296   92.7100
     6.50  633.3744   87.8671
     6.75  648.6144   83.0919
     7.00  662.9400   78.2489
     7.25  677.2656   73.6600
     7.50  690.3720   69.6807
     7.75  703.1736   66.1077
     8.00  713.8416   62.7380
     8.25  725.4240   59.6053
     8.50  734.8728   56.7267
     8.75  743.4072   53.8142
     9.00  751.0272   50.6646
     9.25  757.7328   47.3287
     9.50  763.8288   43.9250
     9.75  769.0104   40.3860
    10.00  773.8872   36.7115
    10.25  778.4592   33.1555
    10.50  782.4216   29.8027
    10.75  785.1648   26.6700
    11.00  788.2128   23.7405
    11.25  790.3464   21.0820
    11.50  791.2608   18.6436
    11.75  792.4800   16.2729
    12.00  793.3944   13.9701
    12.25  795.5280   11.8872
    12.50  793.3944    9.8721
    12.75  790.3464    7.6200
    13.00  787.9080    5.2832
    13.25  785.4696    2.9633
    13.50  785.7744    0.7620
    13.75  781.2024   -1.6425
    14.00  777.5448   -4.1825
    14.25  774.1920   -6.2484
    14.50  770.2296   -7.9417
    14.75  767.1816   -9.3641
    15.00  762.9144  -10.8373
    15.25  757.1232  -12.2259
    15.50  750.1128  -13.4112
    15.75  749.1984  -14.5457
    16.00  740.3592  -15.7141
    16.25  735.7872  -17.1196
    16.50  728.1672  -18.5081
    16.75  719.3281  -19.9305
    17.00  719.6328  -20.8618
    17.25  711.4032  -21.7425
    17.50  704.6976  -22.7753
    17.75  701.9544  -23.2325
    18.00  698.6016  -23.0801
    18.25  692.2008  -22.1996
    18.50  688.8480  -21.6239
    18.75  683.0568  -21.1159
    19.00  678.7896  -20.0491
    19.25  676.9608  -19.0161
    19.50  671.7792  -18.3727
    19.75  669.6456  -17.9663
    20.00  666.5976  -17.2381
