    -5.00    0.0000
    -4.75    0.0000
    -4.50    0.0000
    -4.25    0.0000
    -4.00    0.0000
    -3.75    0.0000
    -3.50    0.0000
    -3.25    0.0000
    -3.00    0.0000
    -2.75    0.0000
    -2.50    0.0000
    -2.25    0.0000
    -2.00    0.0000
    -1.75    0.0000    0.0000
    -1.50    0.0000    0.0000
    -1.25    0.0000    0.0000
    -1.00    0.0000    0.0000
    -0.75    0.0000    0.0000
    -0.50    0.0000    0.0000
    -0.25    0.0000    0.0000
     0.00    0.0000    0.0000
     0.25  -19.8120   -1.1007
     0.50 -103.0224   -7.9248
     0.75 -158.1912  -22.4367
     1.00 -111.8616  -37.4396
     1.25  -63.7032  -47.1932
     1.50  341.6808  -31.7500
     1.75  336.8039    8.1449
     2.00  310.8960   57.7765
     2.25  277.9776  119.5155
     2.50  281.0256  180.5771
     2.75  262.7376  230.2934
     3.00  263.6520  228.6508
     3.25  267.0048  181.6439
     3.50  270.9672  132.7404
     3.75  273.7104   83.0580
     4.00  272.7960   36.3051
     4.25  272.4912   -3.5729
     4.50  273.7104  -16.2729
     4.75  276.4536   -6.9765
     5.00  276.4536   -0.0508
     5.25  275.8440    2.8279
     5.50  274.6248    3.7423
     5.75  272.4912    3.7592
     6.00  268.5288    2.3707
     6.25  271.8816    0.7451
     6.50  266.7000   -0.8805
     6.75  263.6520   -2.5231
     7.00  259.3848   -4.2672
     7.25  256.0320   -6.1299
     7.50  254.8128   -7.5184
     7.75  251.1552   -8.8900
     8.00  249.3264  -10.2108
     8.25  245.0592  -10.9897
     8.50  244.7544  -11.3115
     8.75  242.3160  -11.1252
     9.00  238.3536  -11.1252
     9.25  234.3912  -11.0575
     9.50  232.8672  -10.7865
     9.75  228.2952  -10.6341
    10.00  227.0760  -10.7019
    10.25  223.4184  -11.1591
    10.50  218.8464  -11.6163
    10.75  219.7608  -11.6671
    11.00  216.1032  -11.5655
    11.25  210.9216  -11.6163
    11.50  210.0072  -11.6163
    11.75  208.1784  -11.3792
    12.00  203.9112  -10.9220
    12.25  202.3872  -10.8204
    12.50  199.0344  -10.9897
    12.75  194.7672  -10.9389
    13.00  192.6336  -10.8881
    13.25  190.5000  -11.0405
    13.50  186.5376  -11.3115
    13.75  183.1848  -11.5485
    14.00  181.6608  -11.6671
    14.25  178.0032  -11.7179
    14.50  174.6504  -11.7856
    14.75  172.5168  -11.8364
    15.00  171.6024  -11.7179
    15.25  166.7256  -11.4300
    15.50  163.9824  -11.2945
    15.75  162.7632  -11.2268
    16.00  158.8008  -11.0236
    16.25  156.3624  -10.8035
    16.50  153.3144  -10.8881
    16.75  152.7048  -10.9389
    17.00  149.0472  -10.6511
    17.25  145.6944  -10.6003
    17.50  142.9512  -10.7019
    17.75  140.8176  -10.6680
    18.00  138.6840  -10.4309
    18.25  135.3312  -10.4140
    18.50  131.9784  -10.7188
    18.75  129.8448  -10.7696
    19.00  128.9304  -10.6003
    19.25  125.5776  -10.4817
    19.50  122.5296  -10.5495
