    26.62   39.0828  -35.4253
    26.75   40.1892  -35.3854
    26.88   39.7106  -37.5584
    27.00   39.3734  -39.9284
    27.12   39.9156  -40.0148
    27.25   40.2924  -36.1428
    27.38   39.2214  -29.6003
    27.50   39.8074  -23.2668
    27.62   40.8576  -18.7036
    27.75   39.3196  -16.2680
    27.88   40.5766  -15.3275
    28.00   39.9032  -14.9378
    28.12   40.1082  -14.1041
    28.25   40.9208  -12.1412
    28.38   40.7626   -9.0298
    28.50   40.2218   -5.2875
    28.62   39.9484   -2.0297
    28.75   39.5838   -0.3104
    28.88   39.4408    0.1190
    29.00   39.0670    0.1430
    29.12   40.1394    0.0909
    29.25   39.7428    0.1246
    29.38   39.9674    0.1291
    29.50   39.4224    0.0681
    29.62   40.2942    0.0364
    29.75   39.1330   -0.0569
    29.88   39.9412   -0.1789
    30.00   40.0258   -0.2599
    30.12   39.0856   -0.3138
    30.25   39.5018   -0.3213
    30.38   39.1104   -0.3192
    30.50   40.4388   -0.2758
    30.62   40.6910   -0.1818
    30.75   39.0914   -0.1764
    30.88   40.8124   -0.1659
