     0.00    0.5902
     0.25    0.4672
     0.50    0.2552
     0.75   -0.1608
     1.00    0.1012
     1.25    0.6760
     1.50   -0.1026
     1.75   -0.5046
     2.00   -0.4084
     2.25    0.9264
     2.50    0.2800
     2.75    0.5388
     3.00    0.3932
    50.75   40.4282 -161.4641
    51.00   40.2180 -159.8663
    51.25   39.4322 -147.6146
    51.50   39.5194 -118.2356
    51.75   39.9240  -86.7464
    52.00   40.8062  -63.7682
    52.25   40.8254  -42.9500
    52.50   40.7446  -21.8712
    52.75   39.2998   -5.7832
    53.00   40.1024    0.0901
    53.25   39.7752    0.1772
    53.50   40.7092    0.1427
    53.75   40.4372    0.0818
    54.00   39.2034   -0.0767
    54.25   40.3334   -0.1268
    54.50   40.7184   -0.0602
    54.75   40.6496   -0.0016
    55.00   40.7652    0.0638
    55.25   39.6736    0.0514
    55.50   39.5562    0.1358
    55.75   40.2670    0.1799
    56.00   40.1832    0.0548
    56.25   39.6196   -0.1149
    56.50   39.6572   -0.2854
    56.75   40.5822   -0.2571
    57.00   39.1850   -0.2045
    57.25   40.9144   -0.2050
    57.50   40.5124   -0.1174
    57.75   40.2744    0.0243
    58.00   39.6764    0.1805
    58.25   40.1050    0.1661
    58.50   39.7026    0.1385
    58.75   40.8944    0.1508
    59.00   39.8076    0.0563
    59.25   39.4924   -0.0810
    59.50   39.0890   -0.1945
    59.75   39.6140   -0.2290
    60.00   39.3178   -0.2799
    60.25   40.1040   -0.3728
